CONSTRUCTEDAREA,ROOMNUMBER,BATHNUMBER,HASTERRACE,HASLIFT,HASAIRCONDITIONING,AMENITYID,HASPARKINGSPACE,ISPARKINGSPACEINCLUDEDINPRICE,PARKINGSPACEPRICE,HASNORTHORIENTATION,HASSOUTHORIENTATION,HASEASTORIENTATION,HASWESTORIENTATION,HASBOXROOM,HASWARDROBE,HASSWIMMINGPOOL,HASDOORMAN,HASGARDEN,ISDUPLEX,ISSTUDIO,ISINTOPFLOOR,FLOORCLEAN,FLATLOCATIONID,CADCONSTRUCTIONYEAR,CADMAXBUILDINGFLOOR,CADDWELLINGCOUNT,BUILTTYPEID_1,BUILTTYPEID_2,BUILTTYPEID_3,DISTANCE_TO_CITY_CENTER,DISTANCE_TO_METRO,DISTANCE_TO_CASTELLANA,lon_normalized,lat_normalized,Zona_Cuadricula,y_valid,y_pred,error_porcentual
190,4,3,1,1,0,3,1,1,1,0,0,1,1,1,1,0,1,0,0,0,0,1.0,1.0,1966,13,21,0,0,1,2.9215356904627656,0.4956135329957169,1.508784586873196,21.60332089374993,37.45063815789693,2242,689000,807717.5,17.230406386066765
70,3,1,0,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.0,1.0,1962,6,13,0,0,1,3.906295790486018,0.3108364654361891,1.103708305605564,25.205563312499983,13.834471381581144,806,128000,116503.16,8.981909179687497
150,2,2,1,1,0,3,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,3.0,2.0,1961,8,28,0,1,0,2.496700544777636,0.1690348232597823,0.2200922015527774,27.56156237499997,35.53041328947472,2128,783000,751779.6,3.98727650063857
148,4,2,1,1,1,2,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,5.0,1.0,1957,8,31,0,0,1,3.786053959393336,0.3728430292490082,2.3497967950167724,39.21366301875005,31.79064006579172,1900,470000,571129.44,21.516901595744685
70,4,1,1,1,0,3,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,4.0,1.0,1962,5,21,0,0,1,6.683881098250647,0.072765663,2.3766312239095213,19.550365374999927,50.47028460526312,3020,231000,206843.33,10.457433712121212
109,3,2,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.0,1.0,1999,6,31,1,0,0,2.691364958583053,0.3495611641743857,2.0885620143148085,17.965983062499998,19.207985657895605,1158,380000,380153.4,0.04037006578947455
77,2,1,0,1,0,3,1,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0.0,1.0,1959,5,5,1,0,0,5.373175352604322,0.8101738272709302,1.4592855691702409,22.70846574999992,46.11960519736936,2783,227000,281043.62,23.807764317180613
40,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,2.0,1968,6,27,0,0,1,3.875702045274628,0.4702962951652129,1.9621647976935728,37.77245526875003,34.82076361842107,2078,139000,201202.61,44.75007868705036
61,2,1,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2.0,1.0,1968,4,5,0,1,0,2.302006589004414,0.1578294118948908,0.6975816217998876,25.40291536250001,35.30691585526451,2126,178000,308349.5,73.23005617977527
167,4,3,0,1,1,3,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,3.0,1.0,1961,7,30,0,0,1,4.474312102137639,0.3143797697466032,0.8828940190422703,32.40146106874996,41.348073355263686,2493,895000,869302.75,2.8712011173184337
51,2,1,0,1,0,3,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,4.0,1.0,1975,7,48,0,0,1,0.8925946530349947,0.2788863828702906,0.9443049995797408,23.52516366249993,24.290086513159213,1464,220000,228477.89,3.8535866477272807
170,4,2,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.0,0.0,1959,8,25,0,0,1,3.1304238113724114,0.264625748,1.8082563779888592,36.58785548124998,30.879524802632982,1837,736000,794509.0,7.94959239130435
105,4,1,1,0,0,3,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,4.0,1.0,1966,5,12,0,1,0,3.871931085076703,0.6062507569369906,1.2861135923067633,23.45855081874996,13.900240855265556,804,182000,134917.14,25.869702953296702
52,2,1,0,0,0,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.0,1.0,1950,4,13,0,0,1,2.504658908305434,0.3248777374564207,1.57919176,20.18277051874997,19.12802125000109,1161,96000,170608.58,77.71726888020834
35,1,1,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2.0,1900,6,25,0,0,1,0.6604148592700655,0.1060479967402824,0.562599882,25.18701998124995,25.44070684210773,1526,113000,135871.16,20.239961283185835
40,2,1,0,1,0,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3.0,2.0,1974,7,49,0,0,1,3.1096492618298845,0.4089821108565742,0.4987345661316069,26.036578681250003,38.077004671054524,2307,282000,243819.2,13.53928967198581
133,2,2,0,1,0,3,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,3.0,0.0,1973,9,10,0,0,1,3.558039243591278,0.2074484210719718,1.9973079695856608,37.82077553124992,32.44664243421266,1958,602000,574098.0,4.634883720930228
119,2,1,1,1,1,3,0,0,1,0,0,0,1,1,1,0,1,0,1,0,0,1.0,1.0,1964,7,25,0,0,1,4.550510830591289,0.495758789,0.7426024140116247,31.84430194375005,41.855166710526056,2492,622000,586126.06,5.767514067524115
79,3,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3.0,1.0,1955,8,42,0,0,1,2.6928028618975426,0.4112452200173834,1.4287468940852766,34.096967668750004,23.108075855264147,1415,321000,328586.6,2.36342484423675
79,2,2,0,1,1,3,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0.0,2.0,1945,7,66,0,0,1,2.578237252038865,0.1647361568026788,0.7286094786986023,24.94933921875,36.3321184868432,2185,414000,395088.94,4.567889492753618
37,1,1,0,1,0,3,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0.0,1.0,1900,5,16,0,0,1,3.502999737028383,0.3339841794312378,1.794461744415647,37.06559876249994,33.239357894737125,2018,239000,174806.9,26.859035041841008
90,3,2,1,1,0,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,9.0,1.0,1964,10,20,0,0,1,4.842242976123102,0.6235645414584156,3.663531421441916,43.86663385625001,22.579497960526624,1364,195000,193297.92,0.8728605769230735
60,3,1,0,1,0,3,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,3.0,2.0,1929,7,26,0,1,0,2.4528325535212803,0.1234597220768298,1.1405001840078444,32.61867141249992,22.73178006579099,1353,218000,227801.8,4.4962370986238565
60,3,1,0,0,0,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3.0,1.0,1960,4,33,0,0,1,6.124111745090661,0.2410130818305723,4.485905060119501,46.349210043750055,16.18767473684348,1007,137000,106324.484,22.39088731751825
85,3,2,0,1,0,3,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,4.0,1.0,2008,9,81,0,0,1,7.832704109066642,0.8719659969039294,5.844290042,51.089959606250034,11.182991973686592,712,206000,206882.48,0.4283904733009658
55,1,1,0,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,1974,5,18,0,0,1,7.491597766349256,0.3602735900432116,2.7003291242742096,41.80140928749999,49.11588526315854,2982,141000,134863.2,4.352338209219864
63,2,1,0,1,0,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3.0,1.0,1956,5,12,0,0,1,4.826850887829517,0.3510674437067152,3.036796821321734,42.458178849999925,34.9363104605274,2083,157000,199201.06,26.879657643312104
65,2,1,1,0,0,3,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,3.0,2.0,1997,6,54,0,0,1,1.7578452483736309,0.5065119038633521,1.550671841465474,20.581886343750035,21.795279276317675,1281,381000,292602.06,23.201558398950127
80,2,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5.0,1.0,2008,6,13,0,0,1,5.5215400795919445,0.1198302188891031,3.992246820820278,46.63571256874995,33.0760870394737,2027,301000,231047.08,23.240173380398677
110,2,2,0,1,1,3,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,4.0,1.0,1900,8,17,0,0,1,2.472354202168171,0.2570751305227385,0.2753582560238939,30.48863276249991,34.073082236844016,2071,773000,851192.8,10.115499676584738
75,3,1,1,0,0,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3.0,1.0,1973,5,10,0,0,1,7.385427193850428,0.4657892051937632,2.655353608387884,41.52138496249996,48.820473815789306,2922,162000,186787.0,15.300617283950624
80,3,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1977,8,42,0,0,1,1.9922768164861264,0.0219490655000666,2.7936107375323727,15.09852774999992,26.406781381578853,1576,221000,280348.28,26.854425904977376
167,3,2,1,1,1,3,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1.0,1.0,2002,6,4,0,0,1,5.346717075840024,0.2082547497815752,2.261863049542333,38.48128790625004,41.78392032894882,2499,594000,699916.6,17.83108164983165
72,2,1,0,1,0,3,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,3.0,2.0,1930,5,25,0,0,1,2.8405317925780067,0.2432462810994229,1.6382822009678724,35.60956394374999,29.981835921052618,1776,368000,382009.06,3.8068104619565224
50,2,1,0,1,1,3,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,5.0,1.0,1952,7,28,0,0,1,1.134948080190859,0.2693916227447431,0.4116021137936814,25.76797491250003,23.81483374999993,1406,279000,255252.12,8.511783154121865
95,3,2,1,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2.0,1.0,1969,5,43,0,0,1,3.957432712796261,0.2688806989761201,3.634051708492464,11.109267824999938,17.970049210527502,1032,165000,160148.78,2.9401325757575703
155,5,1,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0.0,1981,5,12,0,0,1,0.5864647579437007,0.1958255597838541,1.2672205161175123,21.826325037499963,25.992659605264212,1522,579000,600268.1,3.673251295336777
90,3,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.0,1.0,1974,12,49,0,0,1,6.768336144666803,0.4812455950039236,5.527555125678596,52.92134320624995,30.185378157895368,1853,180000,190220.62,5.6781250000000005
199,3,2,1,1,1,3,0,0,1,0,1,1,1,1,1,0,1,0,0,0,0,3.0,1.0,1913,6,15,0,0,1,1.0157535975349556,0.3477327245316963,0.054631506,27.45880133749996,25.56701730263209,1528,965000,1007202.6,4.373329015544036
36,0,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3.0,1.0,1991,3,7,0,0,1,4.845749976469703,0.4713169828741335,2.4125917944119823,38.84079813749992,39.14242434210553,2379,261000,187703.55,28.08293223180076
114,2,2,1,1,1,2,1,1,1,0,0,0,0,1,1,1,1,1,0,0,0,1.0,1.0,1934,7,32,0,0,1,2.248403419528657,0.178006688257204,1.2240178949713632,33.33584812499992,28.6460332236846,1714,700000,785665.56,12.237937499999996
230,3,3,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2.0,1.0,1965,7,22,0,1,0,4.742423636024811,0.207991648,0.8421669838201397,25.157451762500003,43.89376809210693,2606,543000,785642.75,44.685589318600364
60,2,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1935,7,34,0,0,1,3.857511698037976,0.107650222,1.2212818742012543,33.53959761875001,38.28481664473687,2314,357000,272221.16,23.747575280112045
120,2,3,1,1,1,3,1,1,1,1,1,0,0,1,1,1,0,1,1,0,1,8.0,1.0,1986,12,63,0,0,1,4.986506150909398,0.2647587716013441,2.069466587402255,27.013266524999946,10.219599605263864,628,297000,419336.44,41.1907196969697
197,3,3,0,1,1,2,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,6.0,1.0,1964,7,19,0,0,1,4.575450833,0.524512388,0.6638485258843115,31.52483943749993,42.06299809210751,2552,1681000,1348623.5,19.772546103509814
125,3,2,0,1,1,3,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,1.0,1.0,1970,9,39,0,0,1,7.304289964969553,0.1408793272237306,2.746529029579268,18.45072964375004,52.52277815789596,3139,406000,409203.53,0.7890471059113224
111,3,2,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5.0,1.0,1928,8,17,0,0,1,2.9795107639329435,0.2229921934586669,0.218002461,27.866975506249997,17.56859302631803,1048,535000,407800.47,23.775613317757006
150,4,2,1,1,0,3,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,4.0,1.0,1961,5,17,0,0,1,3.889806351228011,0.3315061113961924,4.624090827990319,7.368074506249991,23.78113388157891,1388,289000,302343.28,4.617052335640137
65,2,1,1,0,1,3,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,4.0,1.0,1964,5,16,0,1,0,3.3085875865983483,0.3845243646546507,2.169837974542496,17.48009483124999,16.98773802631651,978,105000,97912.984,6.749538690476187
56,3,1,0,0,0,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1.0,1.0,1960,5,11,0,1,0,7.667894503412641,0.076417858,6.293683222040711,56.57115142500002,31.8775020394755,1917,70000,92056.74,31.509631696428574
80,3,1,1,1,0,3,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,4.0,1.0,1970,10,37,0,0,1,7.345650526982388,0.1873206257412549,2.894430063730953,17.80628038749993,52.57800914473785,3138,209000,245798.02,17.60670604066985
33,1,1,0,0,0,3,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,4.0,2.0,1976,5,24,0,0,1,4.149519785491867,0.1135592191089216,0.9619568332354004,24.403432131249968,41.85725500000153,2485,153000,124118.97,18.876491013071895
67,3,1,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1965,8,29,0,0,1,2.729217352115301,0.4302684548184692,1.6997267642939244,19.585451937499904,18.466712763158597,1100,161000,166812.53,3.610267857142868
194,4,3,1,1,1,3,0,0,30001,0,1,0,1,1,1,0,0,0,0,0,0,10.0,1.0,1969,9,21,0,0,1,5.365314795792093,0.5709204931495004,0.3435476995965025,30.489056456249923,45.29468427631814,2731,1010000,1011682.5,0.16658415841583896
48,1,1,0,1,1,3,1,1,1,0,0,1,0,1,1,1,1,1,0,0,0,3.0,1.0,2007,7,92,0,0,1,6.517458726836675,0.8738162575865435,4.946684934879998,8.88010659374997,8.016687105263859,489,162000,160495.58,0.9286554783950574
94,3,1,0,1,0,3,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,6.0,1.0,1974,10,21,0,1,0,7.486329885281956,0.3496735274390353,6.2465462600939565,56.07804085624998,30.087806907895036,1857,167000,207039.1,23.975505239520967
