Hospital,Latitud,Longitud
Hospital General Universitario Gregorio Marañón,,
Instituto Provincial de Oftalmología,,
Instituto Provincial de Rehabilitación ,,
Hospital Universitario Infanta Leonor,,
Hospital Virgen de la Torre ,,
Hospital del Sureste,,
Hospital Universitario de la Princesa,,
Hospital Universitario Santa Cristina,,
Hospital Infantil Universitario Niño Jesús,,
Hospital del Henares,,
Hospital Universitario Príncipe de Asturias,,
Hospital de Torrejón,,
Hospital Universitario Ramón y Cajal,,
Hospital Universitario La Paz,,
Hospital de Cantoblanco ,,
Hospital Dr Rodríguez Lafora,,
Hospital Carlos III,,
Hospital Central de la Cruz Roja San José y Santa Adela,,
Hospital Infanta Sofía,,
Hospital Universitario Puerta de Hierro Majadahonda,,
Hospital de El Escorial,,
Hospital General de Collado Villalba,,
Hospital de Guadarrama,,
Hospital de la Fuenfría,,
Hospital Clínico San Carlos,,
Hospital Universitario de Móstoles,,
Hospital Rey Juan Carlos,,
Hospital Fundación Alcorcón,,
Hospital Virgen de la Poveda,,
Hospital Severo Ochoa,,
Instituto Psiquiátrico Mental José Germain,,
Hospital Universitario de Fuenlabrada,,
Hospital Universitario de Getafe,,
Hospital Infanta Cristina,,
Hospital Universitario 12 de Octubre,,
Hospital Fundación Jiménez Díaz,,
Hospital Infanta Elena,,
Hospital del Tajo,,
Hospital de Emergencias Enfermera Isabel Zendal,,
