Nombre,Latitud,Longitud
Plaza Elíptica,40.3853557,-3.7178747
Opañel,40.3869292,-3.7231777
Carpetana,40.3929166,-3.7409821
Abrantes,40.3809981,-3.7279849
Pan Bendito,40.3761821,-3.7341933
San Francisco,40.3736594,-3.7397923
Carabanchel Alto,40.3718832,-3.7517535
La Peseta,40.3630249,-3.7574077
Arroyofresno,40.4908293,-3.7260676
Duque de Pastrana,40.4674764,-3.6805854
Ventilla,40.4698213,-3.696293
Barrio del Pilar,40.4770471,-3.7035391
Herrera Oria,40.4846027,-3.7080099
Mirasierra,40.4910429,-3.7165397
Pavones,40.4005425,-3.6352111
Artilleros,40.4052627,-3.6418518
Vinateros,40.4103313,-3.6525288
Estrella,40.4112849,-3.661347
Cruz del Rayo,40.4444834,-3.6784632
Ibiza,40.4183658,-3.6781374
Concha Espina,40.4513295,-3.6776079
Pío XII,40.4618018,-3.6765305
Puerta de Arganda,40.4012423,-3.5957286
San Cipriano,40.4039851,-3.6035493
Vicálvaro,40.4042034,-3.6088938
Valdebernardo,40.3999118,-3.621522
Lago,40.4165076,-3.7348806
Santiago Bernabéu,40.4523667,-3.6907254
Cuzco,40.4594841,-3.6900166
Begoña,40.4834526,-3.6869037
Fuencarral,40.4947348,-3.6930692
Tres Olivos,40.500966,-3.6946891
Montecarmelo,40.5053359,-3.6959917
Las Tablas,40.5083428,-3.6694346
Ronda de la Comunicación,40.5151569,-3.6623169
Cuatro Vientos,40.3778953,-3.7919717
Aviación Española,40.3837137,-3.7840243
Colonia Jardín,40.3968629,-3.7747975
Batán,40.4078351,-3.7531173
Palas de Rey,40.5054595,-3.6650971
Virgen del Cortijo,40.4872436,-3.661223
Fuente de la Mora,40.4846824,-3.6630565
Antonio Saura,40.4853643,-3.6537279
Álvarez de Villaamil,40.4891668,-3.6513796
Blasco Ibáñez,40.4936729,-3.6558437
María Tudor,40.4976043,-3.6584428
San Cristóbal Industrial,40.3316317,-3.6993784
San Cristóbal de los Ángeles,40.3421965,-3.6837456
Aravaca,40.4485813,-3.7854948
Valdebebas,40.4818094,-3.6164188
Aeropuerto T4,40.4923256,-3.5935907
Asamblea de Madrid-Entrevías,40.3816333,-3.6680241
Vallecas,40.3820582,-3.6247854
Santa Eugenia,40.3871289,-3.6090858
Vicálvaro,40.4012591,-3.5959253
Las Rosas,40.4235572,-3.6028437
Bilbao,40.4292705,-3.7019295
El Pozo,40.3761663,-3.6560947
Menéndez Pelayo,40.4042973,-3.6811007
Villaverde Alto,40.3415173,-3.7115865
Universidad Pontificia de Comillas,40.5540616,-3.683493
Pacífico,40.4013961,-3.6748832
Conde de Casal,40.4078121,-3.6701194
Pitis,40.4953016,-3.7255275
Fuente de la Mora,40.4849618,-3.6631142
Nuevos Ministerios,40.4450104,-3.6919655
Atocha-Cercanías,40.4059688,-3.6887662
Cantoblanco Universidad,40.5438006,-3.7001897
Pirámides,40.4029561,-3.711976
El Barrial-Centro Comercial Pozuelo,40.4653284,-3.8078481
Madrid-Príncipe Pío,40.4215987,-3.719032
Madrid-Chamartín-Clara Campoamor,40.4727184,-3.6824287
Aluche,40.3857142,-3.761444
El Plantío,40.4719972,-3.8310299
Aluche,40.3856671,-3.7607634
